date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:18:36	47139/47139	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:37%20GMT	http://bibliograph.net/Newspaper	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/Newspaper.html	(from http://bibliograph.net/schemas)
11:18:36	44894/44894	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:38%20GMT	http://bibliograph.net/MusicScore	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/MusicScore.html	(from http://bibliograph.net/schemas)
11:18:36	44811/44811	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:38%20GMT	http://bibliograph.net/PublicationSeries	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/PublicationSeries.html	(from http://bibliograph.net/schemas)
11:18:36	44881/44881	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:38%20GMT	http://bibliograph.net/SoundRecording	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/SoundRecording.html	(from http://bibliograph.net/schemas)
11:18:37	45580/45580	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:38%20GMT	http://bibliograph.net/Thesis	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/Thesis.html	(from http://bibliograph.net/schemas)
11:18:37	58614/58614	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:39%20GMT	http://bibliograph.net/Toy	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/Toy.html	(from http://bibliograph.net/schemas)
11:18:37	23710/23710	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:39%20GMT	http://bibliograph.net/VHS	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/VHS.html	(from http://bibliograph.net/schemas)
11:18:38	5755/5755	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:39%20GMT	http://bibliograph.net/PrintBook	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/PrintBook.html	(from http://bibliograph.net/docs/bgn_releases.html)
11:18:38	56242/56242	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:40%20GMT	http://bibliograph.net/Game	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/Game.html	(from http://bibliograph.net/docs/bgn_releases.html)
11:18:38	108089/108089	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:40%20GMT	http://bibliograph.net/VideoGame	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/VideoGame.html	(from http://bibliograph.net/docs/bgn_releases.html)
11:18:39	6571/6571	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:40%20GMT	http://bibliograph.net/workTranslation	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/workTranslation.html	(from http://bibliograph.net/docs/bibliograph_net_rdfa.html)
11:18:39	6462/6462	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:41%20GMT	http://bibliograph.net/translationOfWork	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/translationOfWork.html	(from http://bibliograph.net/docs/bibliograph_net_rdfa.html)
11:18:39	6958/6958	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:41%20GMT	http://bibliograph.net/additionalType	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/additionalType.html	(from http://bibliograph.net/Thing)
11:18:40	21765/21765	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:41%20GMT	http://bibliograph.net/URL	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/URL.html	(from http://bibliograph.net/Thing)
11:18:40	6081/6081	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:42%20GMT	http://bibliograph.net/alternateName	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/alternateName.html	(from http://bibliograph.net/Thing)
11:18:40	117861/117861	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:42%20GMT	http://bibliograph.net/Text	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/Text.html	(from http://bibliograph.net/Thing)
11:18:40	6113/6113	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:42%20GMT	http://bibliograph.net/description	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/description.html	(from http://bibliograph.net/Thing)
11:18:41	6711/6711	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:42%20GMT	http://bibliograph.net/image	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/image-2.html	(from http://bibliograph.net/Thing)
11:18:41	61130/61130	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:43%20GMT	http://bibliograph.net/ImageObject	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/ImageObject.html	(from http://bibliograph.net/Thing)
11:18:41	6017/6017	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:43%20GMT	http://bibliograph.net/name	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/name.html	(from http://bibliograph.net/Thing)
11:18:42	6193/6193	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:43%20GMT	http://bibliograph.net/potentialAction	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/potentialAction.html	(from http://bibliograph.net/Thing)
11:18:42	21468/21468	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:43%20GMT	http://bibliograph.net/Action	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/Action.html	(from http://bibliograph.net/Thing)
11:18:42	6163/6163	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:44%20GMT	http://bibliograph.net/sameAs	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/sameAs.html	(from http://bibliograph.net/Thing)
11:18:42	10137/10137	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:44%20GMT	http://bibliograph.net/url	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/url-2.html	(from http://bibliograph.net/Thing)
11:18:43	6253/6253	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:44%20GMT	http://bibliograph.net/about	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/about.html	(from http://bibliograph.net/Thing)
11:18:43	21427/21427	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:45%20GMT	http://bibliograph.net/CommunicateAction	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/CommunicateAction.html	(from http://bibliograph.net/Thing)
11:18:43	99490/99490	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:45%20GMT	http://bibliograph.net/CreativeWork	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/CreativeWork.html	(from http://bibliograph.net/Thing)
11:18:44	6904/6904	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:45%20GMT	http://bibliograph.net/category	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/category.html	(from http://bibliograph.net/Thing)
11:18:44	29331/29331	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:46%20GMT	http://bibliograph.net/Invoice	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/Invoice.html	(from http://bibliograph.net/Thing)
11:18:44	20061/20061	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:46%20GMT	http://bibliograph.net/PhysicalActivity	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/PhysicalActivity.html	(from http://bibliograph.net/Thing)
11:18:44	82850/82850	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:46%20GMT	http://bibliograph.net/Offer	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/Offer.html	(from http://bibliograph.net/Thing)
11:18:45	6428/6428	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:46%20GMT	http://bibliograph.net/characterAttribute	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/characterAttribute.html	(from http://bibliograph.net/Thing)
11:18:45	54571/54571	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:47%20GMT	http://bibliograph.net/VideoGameSeries	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/VideoGameSeries.html	(from http://bibliograph.net/Thing)
11:18:45	6630/6630	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:47%20GMT	http://bibliograph.net/collection	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/collection.html	(from http://bibliograph.net/Thing)
11:18:45	18586/18586	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:47%20GMT	http://bibliograph.net/UpdateAction	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/UpdateAction.html	(from http://bibliograph.net/Thing)
11:18:46	6490/6490	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:47%20GMT	http://bibliograph.net/defaultValue	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/defaultValue.html	(from http://bibliograph.net/Thing)
11:18:46	16142/16142	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:48%20GMT	http://bibliograph.net/PropertyValueSpecification	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/PropertyValueSpecification.html	(from http://bibliograph.net/Thing)
11:18:46	6074/6074	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:48%20GMT	http://bibliograph.net/error	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/error.html	(from http://bibliograph.net/Thing)
11:18:47	6331/6331	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:48%20GMT	http://bibliograph.net/gameItem	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/gameItem.html	(from http://bibliograph.net/Thing)
11:18:47	6740/6740	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:49%20GMT	http://bibliograph.net/gamePlatform	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/gamePlatform.html	(from http://bibliograph.net/Thing)
11:18:47	7310/7310	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:49%20GMT	http://bibliograph.net/instrument	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/instrument.html	(from http://bibliograph.net/Thing)
11:18:47	8824/8824	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:49%20GMT	http://bibliograph.net/item	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/item.html	(from http://bibliograph.net/Thing)
11:18:48	16643/16643	---M-Z	200	added ('OK')	text/html	date:Tue,%2021%20May%202019%2010:18:49%20GMT	http://bibliograph.net/ListItem	C:/My%20Web%20Sites/BiblioGraph/bibliograph.net/ListItem.html	(from http://bibliograph.net/Thing)
